"state","type","insurance","cost"
"Iowa","Vaginal_birth","without_ins"," $5,647.90"
"Iowa","C-section","with_ins"," $14,590.62"
"Iowa","C-section","without_ins"," $8,456.64"
"Mississippi","Vaginal_birth","with_ins"," $10,430.48"
"Mississippi","Vaginal_birth","without_ins"," $5,651.97"
"Mississippi","C-section","with_ins"," $14,955.90"
"Mississippi","C-section","without_ins"," $8,576.33"
"Ohio","Vaginal_birth","with_ins"," $10,609.60"
"Ohio","Vaginal_birth","without_ins"," $5,705.76"
"Ohio","C-section","with_ins"," $13,820.24"
"Ohio","C-section","without_ins"," $8,090.67"
"West Virginia","Vaginal_birth","with_ins"," $10,301.50"
"West Virginia","Vaginal_birth","without_ins"," $5,717.18"
"West Virginia","C-section","with_ins"," $14,508.64"
"West Virginia","C-section","without_ins"," $8,429.48"
"Idaho","Vaginal_birth","with_ins"," $10,476.10"
"Idaho","Vaginal_birth","without_ins"," $5,772.21"
"Idaho","C-section","with_ins"," $14,405.24"
"Idaho","C-section","without_ins"," $8,338.79"
"New Mexico","Vaginal_birth","with_ins"," $11,033.96"
"New Mexico","Vaginal_birth","without_ins"," $5,819.31"
"New Mexico","C-section","with_ins"," $14,677.68"
"New Mexico","C-section","without_ins"," $8,391.94"
"Maine","Vaginal_birth","with_ins"," $10,685.24"
"Maine","Vaginal_birth","without_ins"," $5,879.74"
"Maine","C-section","with_ins"," $13,761.92"
"Maine","C-section","without_ins"," $8,093.16"
"Missouri","Vaginal_birth","with_ins"," $10,906.82"
"Missouri","Vaginal_birth","without_ins"," $5,904.83"
"Missouri","C-section","with_ins"," $15,534.41"
"Missouri","C-section","without_ins"," $8,883.15"
"Michigan","Vaginal_birth","with_ins"," $10,957.85"
"Michigan","Vaginal_birth","without_ins"," $5,978.05"
"Michigan","C-section","with_ins"," $14,530.95"
"Michigan","C-section","without_ins"," $8,443.70"
"Delaware","Vaginal_birth","with_ins"," $10,933.21"
"Delaware","Vaginal_birth","without_ins"," $5,978.86"
"Delaware","C-section","with_ins"," $14,367.51"
"Delaware","C-section","without_ins"," $8,373.46"
"Minnesota","Vaginal_birth","with_ins"," $11,031.86"
"Minnesota","Vaginal_birth","without_ins"," $6,011.99"
"Minnesota","C-section","with_ins"," $15,231.75"
"Minnesota","C-section","without_ins"," $8,809.20"
"Oklahoma","Vaginal_birth","with_ins"," $11,287.31"
"Oklahoma","Vaginal_birth","without_ins"," $6,057.96"
"Oklahoma","C-section","with_ins"," $15,055.99"
"Oklahoma","C-section","without_ins"," $8,619.79"
"Montana","Vaginal_birth","with_ins"," $11,176.59"
"Montana","Vaginal_birth","without_ins"," $6,101.17"
"Montana","C-section","with_ins"," $14,641.75"
"Montana","C-section","without_ins"," $8,473.76"
"South Dakota","Vaginal_birth","with_ins"," $11,175.50"
"South Dakota","Vaginal_birth","without_ins"," $6,121.19"
"South Dakota","C-section","with_ins"," $15,406.29"
"South Dakota","C-section","without_ins"," $8,793.36"
"South Carolina","Vaginal_birth","with_ins"," $11,377.81"
"South Carolina","Vaginal_birth","without_ins"," $6,141.69"
"South Carolina","C-section","with_ins"," $15,103.24"
"South Carolina","C-section","without_ins"," $8,727.16"
"New Hampshire","Vaginal_birth","with_ins"," $11,487.32"
"New Hampshire","Vaginal_birth","without_ins"," $6,207.80"
"New Hampshire","C-section","with_ins"," $16,803.04"
"New Hampshire","C-section","without_ins"," $9,409.77"
"Indiana","Vaginal_birth","with_ins"," $11,837.14"
"Indiana","Vaginal_birth","without_ins"," $6,347.41"
"Indiana","C-section","with_ins"," $16,602.23"
"Indiana","C-section","without_ins"," $9,355.35"
"North Carolina","Vaginal_birth","with_ins"," $11,848.73"
"North Carolina","Vaginal_birth","without_ins"," $6,407.91"
"North Carolina","C-section","with_ins"," $15,670.46"
"North Carolina","C-section","without_ins"," $8,971.04"
"Washington","Vaginal_birth","with_ins"," $11,769.31"
"Washington","Vaginal_birth","without_ins"," $6,408.83"
"Washington","C-section","with_ins"," $16,439.41"
"Washington","C-section","without_ins"," $9,338.87"
"Virginia","Vaginal_birth","with_ins"," $12,065.79"
"Virginia","Vaginal_birth","without_ins"," $6,493.98"
"Virginia","C-section","with_ins"," $16,970.82"
"Virginia","C-section","without_ins"," $9,557.10"
"Vermont","Vaginal_birth","with_ins"," $12,074.59"
"Vermont","Vaginal_birth","without_ins"," $6,502.27"
"Vermont","C-section","with_ins"," $19,525.80"
"Vermont","C-section","without_ins"," $10,644.78"
"Maryland","Vaginal_birth","with_ins"," $11,820.32"
"Maryland","Vaginal_birth","without_ins"," $6,508.44"
"Maryland","C-section","with_ins"," $15,820.97"
"Maryland","C-section","without_ins"," $9,110.67"
"Pennsylvania","Vaginal_birth","with_ins"," $12,037.00"
"Pennsylvania","Vaginal_birth","without_ins"," $6,535.24"
"Pennsylvania","C-section","with_ins"," $17,452.53"
"Pennsylvania","C-section","without_ins"," $9,797.40"
"Colorado","Vaginal_birth","with_ins"," $12,549.70"
"Colorado","Vaginal_birth","without_ins"," $6,648.17"
"Colorado","C-section","with_ins"," $16,574.70"
"Colorado","C-section","without_ins"," $9,358.13"
"Georgia","Vaginal_birth","with_ins"," $12,447.83"
"Georgia","Vaginal_birth","without_ins"," $6,693.32"
"Georgia","C-section","with_ins"," $16,711.12"
"Georgia","C-section","without_ins"," $9,427.23"
"Tennessee","Vaginal_birth","with_ins"," $12,602.76"
"Tennessee","Vaginal_birth","without_ins"," $6,696.51"
"Tennessee","C-section","with_ins"," $16,465.34"
"Tennessee","C-section","without_ins"," $9,328.75"
"Oregon","Vaginal_birth","with_ins"," $12,231.67"
"Oregon","Vaginal_birth","without_ins"," $6,725.62"
"Oregon","C-section","with_ins"," $16,973.33"
"Oregon","C-section","without_ins"," $9,569.14"
"Arizona","Vaginal_birth","with_ins"," $12,930.96"
"Arizona","Vaginal_birth","without_ins"," $6,806.76"
"Arizona","C-section","with_ins"," $17,198.69"
"Arizona","C-section","without_ins"," $9,599.50"
"Texas","Vaginal_birth","with_ins"," $13,149.87"
"Texas","Vaginal_birth","without_ins"," $6,923.48"
"Texas","C-section","with_ins"," $18,425.98"
"Texas","C-section","without_ins"," $10,199.52"
"Nevada","Vaginal_birth","with_ins"," $13,135.05"
"Nevada","Vaginal_birth","without_ins"," $6,947.47"
"Nevada","C-section","with_ins"," $18,299.01"
"Nevada","C-section","without_ins"," $10,130.72"
"California","Vaginal_birth","with_ins"," $13,081.32"
"California","Vaginal_birth","without_ins"," $7,001.03"
"California","C-section","with_ins"," $18,088.29"
"California","C-section","without_ins"," $10,102.40"
"Wyoming","Vaginal_birth","with_ins"," $13,117.31"
"Wyoming","Vaginal_birth","without_ins"," $7,018.03"
"Wyoming","C-section","with_ins"," $18,184.22"
"Wyoming","C-section","without_ins"," $10,017.69"
"North Dakota","Vaginal_birth","with_ins"," $13,191.93"
"North Dakota","Vaginal_birth","without_ins"," $7,294.10"
"North Dakota","C-section","with_ins"," $16,993.96"
"North Dakota","C-section","without_ins"," $9,647.96"
"Florida","Vaginal_birth","with_ins"," $13,923.95"
"Florida","Vaginal_birth","without_ins"," $7,391.90"
"Florida","C-section","with_ins"," $18,864.02"
"Florida","C-section","without_ins"," $10,514.41"
"Illinois","Vaginal_birth","with_ins"," $14,047.36"
"Illinois","Vaginal_birth","without_ins"," $7,447.68"
"Illinois","C-section","with_ins"," $19,001.81"
"Illinois","C-section","without_ins"," $10,511.16"
"Connecticut","Vaginal_birth","with_ins"," $14,583.66"
"Connecticut","Vaginal_birth","without_ins"," $7,906.21"
"Connecticut","C-section","with_ins"," $20,410.99"
"Connecticut","C-section","without_ins"," $11,188.13"
"Massachusetts","Vaginal_birth","with_ins"," $14,618.17"
"Massachusetts","Vaginal_birth","without_ins"," $7,949.91"
"Massachusetts","C-section","with_ins"," $18,461.72"
"Massachusetts","C-section","without_ins"," $10,349.98"
"Wisconsin","Vaginal_birth","with_ins"," $15,798.92"
"Wisconsin","Vaginal_birth","without_ins"," $8,278.86"
"Wisconsin","C-section","with_ins"," $21,703.62"
"Wisconsin","C-section","without_ins"," $11,757.92"
"New York","Vaginal_birth","with_ins"," $15,518.68"
"New York","Vaginal_birth","without_ins"," $8,449.33"
"New York","C-section","with_ins"," $20,706.77"
"New York","C-section","without_ins"," $11,387.63"
"New Jersey","Vaginal_birth","with_ins"," $16,674.62"
"New Jersey","Vaginal_birth","without_ins"," $8,755.88"
"New Jersey","C-section","with_ins"," $21,297.28"
"New Jersey","C-section","without_ins"," $11,637.74"
"Alaska","Vaginal_birth","with_ins"," $19,775.79"
"Alaska","Vaginal_birth","without_ins"," $10,681.28"
"Alaska","C-section","with_ins"," $28,491.95"
"Alaska","C-section","without_ins"," $14,927.76"
